品目コード,品目名,仕入先名,荷姿名,発効日,有効日,単価,通貨,備考
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,17kg缶,2024/09/30,無期限,947,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,17kg缶,2022/07/29,2024/09/29,913,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,17kg缶,2022/04/01,2022/07/28,813,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,17kg缶,2022/02/01,2022/03/31,788,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,17kg缶,2021/08/17,2022/01/31,738,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,17kg缶,2020/01/07,2021/08/16,698,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,1000kgコンテナー,2024/09/30,無期限,890,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,1000kgコンテナー,2022/07/29,2024/09/29,862,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,1000kgコンテナー,2022/04/01,2022/07/28,803,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,1000kgコンテナー,2022/02/01,2022/03/31,778,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,1000kgコンテナー,2021/08/17,2022/01/31,728,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,1000kgコンテナー,2020/01/07,2021/08/16,698,JPY,
0401010170,アデカスタブ AC-288,ADEKAケミカルサプライ株式会社,1000kgコンテナー,2023/02/01,2022/07/28,856,JPY,値下げ
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2025/06/01,無期限,214.9,JPY,値下げ
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2023/05/01,2025/05/31,228.5,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2022/09/01,2023/04/30,254.3,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2020/09/01,2022/08/31,144.3,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2018/05/01,2020/08/31,154.8,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2015/10/01,2018/04/30,165.8,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2014/11/01,2015/09/30,171.8,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2014/04/01,2014/10/31,170.8,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2014/03/01,2014/03/31,170.2,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2011/08/01,2014/02/28,152.7,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2011/07/01,2011/07/31,166.2,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2011/06/01,2011/06/30,163.5,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2011/04/01,2011/05/31,141.9,JPY,
1103000020,オクサゾールS,北村化学産業株式会社,14KLローリー,2009/04/01,2011/03/31,121.6,JPY,
255885900615,カネライト E-3 50X910X1820,カネカケンテック株式会社,1枚,2022/12/01,無期限,1484,JPY,
255885900615,カネライト E-3 50X910X1820,カネカケンテック株式会社,1枚,2022/05/01,2022/11/30,1394,JPY,
255885900615,カネライト E-3 50X910X1820,カネカケンテック株式会社,1枚,2021/09/01,2022/04/30,1294,JPY,
255885900615,カネライト E-3 50X910X1820,カネカケンテック株式会社,1枚,2016/01/01,2021/08/31,1244,JPY,
1203030080,セラフォーム W-150LK5改,日本紙通商株式会社,5000m巻,2023/04/01,無期限,43.78,JPY,
1203030080,セラフォーム W-150LK5改,日本紙通商株式会社,5000m巻,2023/02/01,2023/03/31,39.81,JPY,
1203030080,セラフォーム W-150LK5改,日本紙通商株式会社,5000m巻,2023/01/01,2023/01/31,35.84,JPY,
1203030080,セラフォーム W-150LK5改,日本紙通商株式会社,5000m巻,2022/05/01,2022/12/31,35.84,JPY,
1203030080,セラフォーム W-150LK5改,日本紙通商株式会社,5000m巻,2020/12/04,2022/04/30,31.26,JPY,
1203030080,セラフォーム W-150LK5改,日本紙通商株式会社,5000m巻,2016/12/13,2020/12/03,33.81,JPY,
1203030080,セラフォーム W-150LK5改,日本紙通商株式会社,5000m巻,2015/06/01,2016/12/12,36.7,JPY,
0902000090,ハイドリック VS EX(CP),大日精化工業株式会社,180kgドラム,2024/10/01,無期限,482,JPY,
0902000090,ハイドリック VS EX(CP),大日精化工業株式会社,180kgドラム,2022/12/01,2024/09/30,469,JPY,
0902000090,ハイドリック VS EX(CP),大日精化工業株式会社,180kgドラム,2022/09/01,2022/11/30,439,JPY,
0902000090,ハイドリック VS EX(CP),大日精化工業株式会社,180kgドラム,2022/06/01,2022/08/31,409,JPY,
0902000090,ハイドリック VS EX(CP),大日精化工業株式会社,180kgドラム,2017/02/20,2022/05/31,384,JPY,
0902000090,ハイドリック VS EX(CP),大日精化工業株式会社,180kgドラム,2008/11/01,2017/02/19,388,JPY,
0902000090,ハイドリック VS EX(CP),大日精化工業株式会社,15kg缶,2024/10/01,無期限,482,JPY,
0902000090,ハイドリック VS EX(CP),大日精化工業株式会社,1025kgコンテナー,2024/10/01,無期限,472,JPY,
255886300507,プラグビスTUL8X80,峰岸株式会社,100本/ケース,2022/10/21,無期限,3600,JPY,
255886300507,プラグビスTUL8X80,峰岸株式会社,100本/ケース,2021/08/21,2022/10/20,1900,JPY,
255886300507,プラグビスTUL8X80,峰岸株式会社,100本/ケース,2016/01/01,2021/08/20,1800,JPY,
255875212001,プルーフセメント NR 15KG,コニシ株式会社,,2024/10/01,無期限,7920,JPY,
255875212001,プルーフセメント NR 15KG,コニシ株式会社,,2022/12/01,2024/09/30,7470,JPY,
255875212001,プルーフセメント NR 15KG,コニシ株式会社,,2022/07/01,2022/11/30,7020,JPY,
255875212001,プルーフセメント NR 15KG,コニシ株式会社,,2022/01/01,2022/06/30,6570,JPY,
255875212001,プルーフセメント NR 15KG,コニシ株式会社,,2020/06/10,2021/12/31,6195,JPY,
