文書番号,品名,分類番号（大分類）,分類番号（中分類）,分類番号（小分類）,分類番号（商標）,運送経路,所要時間,運送会社,輸送距離,成分1,成分1_含有量,成分2,成分2_含有量,成分3,成分3_含有量,成分4,成分4_含有量,成分5,成分5_含有量,成分6,成分6_含有量,成分7,成分7_含有量,成分8,成分8_含有量,成分9,成分9_含有量,成分10,成分10_含有量,材料1,材料1_含有量,材料2,材料2_含有量,材料3,材料3_含有量,材料4,材料4_含有量,材料5,材料5_含有量,材料6,材料6_含有量,材料7,材料7_含有量,材料8,材料8_含有量,材料9,材料9_含有量,材料10,材料10_含有量,元価格,改定後の価格,改定時期,改定理由,［成分1］市況単価,［成分2］市況単価,［成分3］市況単価,［成分4］市況単価,［成分1］市況情報,［成分2］市況情報,［成分3］市況情報,［成分4］市況情報,燃動力1,［燃動力1］市況情報,［燃動力1］単価,燃動力2,［燃動力2］市況情報,［燃動力2］単価,燃動力3,［燃動力3］市況情報,［燃動力3］単価,燃動力4,［燃動力4］市況情報,［燃動力4］単価,労務費（時間当り）,［労務費］市況情報,［運賃］円/m
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,443,2022/05/01,,517.5,287.5,230.0,,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,394,2021/10/01,,472.5,262.5,210.0,,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,369,2021/07/01,,472.5,262.5,210.0,,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,361,2020/08/01,,450.0,250.0,200.0,,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,364,2020/01/01,,450.0,250.0,200.0,,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,365,2019/06/06,,436.5,242.5,194.0,,,,,,LNG,,164.9,電力,,126.1,,,,,,,873,,0.3638
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,2019/03/13,,436.5,242.5,194.0,,,,,,LNG,,164.9,電力,,126.1,,,,,,,873,,0.3638
1203010160,WK-680RIP(965),12,03,01,0160,静岡県富士市→土浦事業所,6時間前後,株式会社タカキュー/英運輸送株式会社,,セルロースパルプ,78%,ケイ酸塩鉱物,15%,二酸化チタン,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,19.56,2023/11/01,,120.0,33.6,540.0,,,,,,LNG,,204.0,電力,,156.0,,,,,,,1080,,0.4500
1203010160,WK-680RIP(965),12,03,01,0160,静岡県富士市→土浦事業所,6時間前後,株式会社タカキュー/英運輸送株式会社,,セルロースパルプ,78%,ケイ酸塩鉱物,15%,二酸化チタン,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17,16.3,2022/04/01,パルプ価格上昇・燃料費上昇,115.0,32.2,517.5,,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
1203010160,WK-680RIP(965),12,03,01,0160,静岡県富士市→土浦事業所,6時間前後,株式会社タカキュー/英運輸送株式会社,,セルロースパルプ,78%,ケイ酸塩鉱物,15%,二酸化チタン,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17,2021/06/01,,105.0,29.4,472.5,,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
